 ,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
All Vehicles,206856,225160,268619,314292,236859,220847,217616,234859,280584,316140,333996,282557,149389,160418,160777,145033,164043,187920
New Vehicles,153086,172524,213600,274990,207441,193743,188109,195507,219284,233727,246446,194817,73125,103076,105761,95093,92887,117652
New Private Cars,125818,138538,170322,225269,160908,150485,142992,149635,166270,173273,180754,146470,54432,84907,86932,76256,71348,92361
New Goods Vehicles,18895,23811,30066,33606,30622,28412,30532,31165,38396,43619,46043,31459,10051,10510,11188,10855,11024,16254
New Tractors,1848,2318,2762,2816,2681,2868,2970,2881,3168,3687,4442,4154,1883,1359,1731,1996,4403,2186
New Motor Cycles,2717,3117,4955,6871,6919,5596,4993,3833,3240,3206,3522,3194,1879,1321,1102,955,878,960
New Exempt Vehicles,2042,2481,2664,3321,3709,4114,4022,5099,4851,6169,7422,6286,3690,4207,4014,3930,3955,4762
New Public Service Vehicles,1051,1380,1795,1774,1335,1149,1081,1181,1400,1732,1956,1614,493,306,297,531,378,517
New Small Public Service Vehicles,633,991,1109,873,843,713,599,652,902,1033,1283,893,190,193,195,275,160,237
New Large Public Service Vehicles,418,389,686,901,492,436,482,529,498,699,673,721,303,113,102,256,218,280
New Machines or Contrivances,636,739,709,1003,938,819,1123,1241,1359,1327,1445,906,409,222,294,409,606,399
Other Classes New Other Vehicles,79,140,327,330,329,300,396,472,600,714,862,734,288,244,203,161,295,213
Secondhand Vehicles,53770,52636,55019,39302,29418,27104,29507,39352,61300,82413,87550,87740,76264,57342,55016,49940,71156,70268
Secondhand Private Cars,41554,39565,36878,24003,15237,13352,13472,21391,38207,54244,58719,60091,49464,39103,41149,38469,49762,52863
Secondhand Goods Vehicles,4888,5388,9285,6983,5958,5285,6294,7948,11590,15228,14785,13133,13761,8207,5227,4731,7533,9074
Secondhand Tractors,3065,3040,3332,2786,2447,2436,3044,3021,3327,3601,3492,3412,2845,2194,2537,1781,6598,2357
Secondhand Other Vehicles,4263,4643,5524,5530,5776,6031,6697,6992,8176,9340,10554,11104,10194,7838,6103,4959,7263,5974
